Store Street,Store City,Store State,Store Country,Latitude,Longitude,Store Id
6298 Foggy Pony Village,Caguas,PR,Puerto Rico,18.26679611,-66.03705597,5588
9533 Easy Port,Caguas,PR,Puerto Rico,18.24604034,-66.03705597,5589
5995 Dusty Highway,Caguas,PR,Puerto Rico,18.26068497,-66.03705597,5590
760 Lazy Pines,Caguas,PR,Puerto Rico,18.23596573,-66.03705597,5591
3216 Rocky Centre,Caguas,PR,Puerto Rico,18.29263496,-66.03705597,5592
4609 High Townline,Caguas,PR,Puerto Rico,18.28279495,-66.03705597,5593
9163 Clear Gate,Caguas,PR,Puerto Rico,18.22760963,-66.03705597,5594
5013 Pleasant Fawn Pathway,Caguas,PR,Puerto Rico,18.26222038,-66.03705597,5595
444 Grand Corner,Caguas,PR,Puerto Rico,18.23552132,-66.03705597,5596
6772 Cotton Wagon Moor,Caguas,PR,Puerto Rico,18.24709892,-66.03705597,5597
6280 Sleepy Brook Diversion,Caguas,PR,Puerto Rico,18.21315384,-66.03705597,5598
9627 Honey Trail,Caguas,PR,Puerto Rico,18.27975082,-66.03705597,5599
5424 Wishing Wagon Bank,Caguas,PR,Puerto Rico,18.22987747,-66.03705597,5600
779 Old Anchor View,Caguas,PR,Puerto Rico,18.26324463,-66.03705597,5601
6908 Middle Green,Caguas,PR,Puerto Rico,18.26911163,-66.03705597,5602
595 Sunny Line,Caguas,PR,Puerto Rico,18.24061585,-66.03705597,5603
810 Jagged Pointe,Caguas,PR,Puerto Rico,18.27082634,-66.03705597,5604
3632 Emerald Robin Glen,Caguas,PR,Puerto Rico,18.29400063,-66.03705597,5605
1393 Umber Sky Estates,Caguas,PR,Puerto Rico,18.22337914,-66.03705597,5606
8018 Cinder Prairie Run,Caguas,PR,Puerto Rico,18.27517891,-66.03705597,5607
1691 Jagged Nectar Corner,Caguas,PR,Puerto Rico,18.21792221,-66.03705597,5608
1914 Iron Berry Edge,Caguas,PR,Puerto Rico,18.20069313,-66.03705597,5609
357 Quiet Rise,Caguas,PR,Puerto Rico,18.23948097,-66.03705597,5610
6496 Colonial Leaf Orchard,Caguas,PR,Puerto Rico,18.2868042,-66.03705597,5611
3178 Golden Villas,Caguas,PR,Puerto Rico,18.24164391,-66.03705597,5612
9922 Harvest Pond Acres,Caguas,PR,Puerto Rico,18.24023819,-66.03705597,5613
4208 Rocky Embers Terrace,Caguas,PR,Puerto Rico,18.25958061,-66.03705597,5614
4669 Blue Barn Front,Caguas,PR,Puerto Rico,18.21715164,-66.03705597,5615
3481 Crystal Campus,Caguas,PR,Puerto Rico,18.2846489,-66.03705597,5616
285 Round Bend,Caguas,PR,Puerto Rico,18.26291847,-66.03705597,5617
8860 Indian Highway,Caguas,PR,Puerto Rico,18.21934509,-66.03705597,5618
5768 Jagged Zephyr Port,Caguas,PR,Puerto Rico,18.21855736,-66.03705597,5619
8663 Crystal Bluff Walk,Caguas,PR,Puerto Rico,18.26299286,-66.03705597,5620
7640 Honey Apple Route,Caguas,PR,Puerto Rico,18.26320648,-66.03705597,5621
9417 Colonial Mountain,Caguas,PR,Puerto Rico,18.21139717,-66.03705597,5622
6058 Stony Walk,Caguas,PR,Puerto Rico,18.26717567,-66.03705597,5623
1626 Heather Road,Caguas,PR,Puerto Rico,18.27593041,-66.03705597,5624
146 Middle Terrace,Caguas,PR,Puerto Rico,18.20939446,-66.03705597,5625
1952 Noble Ramp,Caguas,PR,Puerto Rico,18.23963165,-66.03705597,5626
8365 Thunder Way,Caguas,PR,Puerto Rico,18.22874069,-66.03705597,5627
5010 Emerald Hollow,Caguas,PR,Puerto Rico,18.21885109,-66.03705597,5628
8274 Middle Pike,Caguas,PR,Puerto Rico,18.28171349,-66.03705597,5629
7598 Little Maze,Caguas,PR,Puerto Rico,18.25514984,-66.03705597,5630
1790 Dewy Apple Orchard,Caguas,PR,Puerto Rico,18.23813057,-66.03705597,5631
7814 Old Glen,Caguas,PR,Puerto Rico,18.27288055,-66.03705597,5632
2616 Tawny Elk Park,Caguas,PR,Puerto Rico,18.2470932,-66.03705597,5633
5512 Hidden Pines,Caguas,PR,Puerto Rico,18.29406738,-66.03705597,5634
4288 Hazy Alley,Caguas,PR,Puerto Rico,18.29278755,-66.03705597,5635
1966 Easy Trace,Caguas,PR,Puerto Rico,18.21850205,-66.03705597,5636
4839 Lazy View,Caguas,PR,Puerto Rico,18.21499062,-66.03705597,5637
4079 Green Swale,Caguas,PR,Puerto Rico,18.22461128,-66.03705597,5638
4096 Green Cove,Caguas,PR,Puerto Rico,18.20895004,-66.03705597,5639
8171 Iron Glade,Caguas,PR,Puerto Rico,18.29977989,-66.03705597,5640
8777 Old Arbor,Caguas,PR,Puerto Rico,18.29722595,-66.03705597,5641
4854 Tawny Cove,Caguas,PR,Puerto Rico,18.29532433,-66.03705597,5642
5744 Cinder Square,Caguas,PR,Puerto Rico,18.29573059,-66.03705597,5643
3853 Pleasant Mountain Corners,Caguas,PR,Puerto Rico,18.25405693,-66.03705597,5644
7240 Sleepy Goose Path,Caguas,PR,Puerto Rico,18.26716614,-66.03705597,5645
6567 Red Sky Gate,Caguas,PR,Puerto Rico,18.20376015,-66.03705597,5646
4352 Hazy Hickory Road,Caguas,PR,Puerto Rico,18.2167778,-66.03705597,5647
4948 Stony Close,Caguas,PR,Puerto Rico,18.28154373,-66.03705597,5648
7859 Silver Treasure Wynd,Caguas,PR,Puerto Rico,18.21652222,-66.03705597,5649
9518 Old Corner,Caguas,PR,Puerto Rico,18.21196747,-66.03705597,5650
9276 Jagged Towers,Caguas,PR,Puerto Rico,18.29868698,-66.03705597,5651
1269 Rocky Brook Hollow,Caguas,PR,Puerto Rico,18.27209663,-66.03705597,5652
9539 Old Diversion,Caguas,PR,Puerto Rico,18.26969338,-66.03705597,5653
5514 Fallen Round,Caguas,PR,Puerto Rico,18.26961517,-66.03705597,5654
9836 Silver Fox Private,Caguas,PR,Puerto Rico,18.29702759,-66.03705597,5655
7236 Cinder Bay,Caguas,PR,Puerto Rico,18.21660423,-66.03705597,5656
3594 Thunder Zephyr Bank,Caguas,PR,Puerto Rico,18.29099846,-66.03705597,5657
9160 Cinder Diversion,Caguas,PR,Puerto Rico,18.20773315,-66.03705597,5658
9712 Bright Nectar Byway,Caguas,PR,Puerto Rico,18.26468658,-66.03705597,5659
6828 Cotton Landing,Caguas,PR,Puerto Rico,18.20208168,-66.03705597,5660
4690 Amber Fawn Mews,Caguas,PR,Puerto Rico,18.26831245,-66.03705597,5661
5959 Harvest Forest Boulevard,Caguas,PR,Puerto Rico,18.28237343,-66.03705597,5662
6025 Cotton Pond Farm,Caguas,PR,Puerto Rico,18.27897644,-66.03705597,5663
7762 Rocky Carrefour,Caguas,PR,Puerto Rico,18.26023483,-66.03705597,5664
5050 Bright Dale Field,Caguas,PR,Puerto Rico,18.26635361,-66.03705597,5665
3751 Heather Townline,Caguas,PR,Puerto Rico,18.26189613,-66.03705597,5666
1952 Noble Ramp,Caguas,PR,Puerto Rico,18.2722187,-66.03705597,5667
7106 Silent Anchor Promenade,Caguas,PR,Puerto Rico,18.21880722,-66.03705597,5668
7027 Sleepy Farm,Caguas,PR,Puerto Rico,18.24111939,-66.03705597,5669
5835 Harvest Vista,Caguas,PR,Puerto Rico,18.25907326,-66.03705597,5670
4197 Colonial Prairie Mews,Caguas,PR,Puerto Rico,18.29380798,-66.03705597,5671
1082 Rustic Rabbit Street,Caguas,PR,Puerto Rico,18.21579933,-66.03705597,5672
23 Old Corners,Caguas,PR,Puerto Rico,18.29535866,-66.03705597,5673
4791 Harvest Quail Limits,Caguas,PR,Puerto Rico,18.21502495,-66.03705597,5674
6183 Little Passage,Caguas,PR,Puerto Rico,18.26784897,-66.03705597,5675
4089 Silver Autumn Crossing,Caguas,PR,Puerto Rico,18.26110268,-66.03705597,5676
5548 Tawny Embers Nook,Caguas,PR,Puerto Rico,18.24774551,-66.03705597,5677
9816 Grand Hills Knoll,Caguas,PR,Puerto Rico,18.28172112,-66.03705597,5678
5336 Misty Hickory Quay,Caguas,PR,Puerto Rico,18.27696037,-66.03705597,5679
6370 Emerald Row,Caguas,PR,Puerto Rico,18.23524284,-66.03705597,5680
4899 Rustic Apple Boulevard,Caguas,PR,Puerto Rico,18.27749062,-66.03705597,5681
8818 Easy Oak Point,Caguas,PR,Puerto Rico,18.26144218,-66.03705597,5682
8688 Fallen Anchor Lookout,Caguas,PR,Puerto Rico,18.24256706,-66.03705597,5683
3481 Crystal Campus,Caguas,PR,Puerto Rico,18.23563004,-66.03705597,5684
3361 Little Ledge,Caguas,PR,Puerto Rico,18.29262924,-66.03705597,5685
2199 Dewy Forest Highway,Caguas,PR,Puerto Rico,18.27336311,-66.03705597,5686
4232 Harvest Creek Swale,Caguas,PR,Puerto Rico,18.20359993,-66.03705597,5687
6481 Heather Wagon Range,Caguas,PR,Puerto Rico,18.24515152,-66.03705597,5688
436 Noble Shadow Estates,Caguas,PR,Puerto Rico,18.26127625,-66.03705597,5689
7595 Cotton Log Row,Caguas,PR,Puerto Rico,18.2702179,-66.03705597,5690
3393 Tawny Extension,Caguas,PR,Puerto Rico,18.21594429,-66.03705597,5691
3913 Old Link,Caguas,PR,Puerto Rico,18.28416061,-66.03705597,5692
8101 Fallen Parkway,Caguas,PR,Puerto Rico,18.20238876,-66.03705597,5693
6611 Green Woods,Caguas,PR,Puerto Rico,18.24231911,-66.03705597,5694
9854 Jagged Impasse,Caguas,PR,Puerto Rico,18.23437882,-66.03705597,5695
654 Fallen Via,Caguas,PR,Puerto Rico,18.24637413,-66.03705597,5696
5072 Old Downs,Caguas,PR,Puerto Rico,18.20342255,-66.03705597,5697
9890 Clear Knoll,Caguas,PR,Puerto Rico,18.27330399,-66.03705597,5698
2863 Crystal Barn End,Caguas,PR,Puerto Rico,18.21661377,-66.03705597,5699
4938 Crystal Creek Ramp,Caguas,PR,Puerto Rico,18.23060036,-66.03705597,5700
2858 Cinder Path,Caguas,PR,Puerto Rico,18.28129578,-66.03705597,5701
4722 Round Embers Falls,Caguas,PR,Puerto Rico,18.27085495,-66.03705597,5702
20 Bright Barn Woods,Caguas,PR,Puerto Rico,18.25925636,-66.03705597,5703
2291 Velvet Berry Freeway,Caguas,PR,Puerto Rico,18.22081184,-66.03705597,5704
403 Tawny Hills By-pass,Caguas,PR,Puerto Rico,18.21810341,-66.03705597,5705
475 Colonial Autoroute,Caguas,PR,Puerto Rico,18.27243233,-66.03705597,5706
2439 Quaking Cove,Caguas,PR,Puerto Rico,18.2288971,-66.03705597,5707
6724 Golden Quay,Caguas,PR,Puerto Rico,18.24651909,-66.03705597,5708
7760 Sunny Dale,Caguas,PR,Puerto Rico,18.21342087,-66.03705597,5709
437 Cozy Log Range,Caguas,PR,Puerto Rico,18.21112442,-66.03705597,5710
5292 Cinder Elk Moor,Caguas,PR,Puerto Rico,18.29785538,-66.03705597,5711
7274 Middle Wynd,Caguas,PR,Puerto Rico,18.2487812,-66.03705597,5712
7793 Tawny Willow Ridge,Caguas,PR,Puerto Rico,18.26756859,-66.03705597,5713
8248 Blue Corners,Caguas,PR,Puerto Rico,18.27907181,-66.03705597,5714
4813 Red Wagon Farms,Caguas,PR,Puerto Rico,18.29032326,-66.03705597,5715
2721 Dewy Panda Manor,Caguas,PR,Puerto Rico,18.2559185,-66.03705597,5716
8421 Sunny Butterfly Trace,Caguas,PR,Puerto Rico,18.27104187,-66.03705597,5717
777 Sleepy Quail Key,Caguas,PR,Puerto Rico,18.23947907,-66.03705597,5718
4691 Cinder Crest,Caguas,PR,Puerto Rico,18.23181343,-66.03705597,5719
5193 Round Mountain,Caguas,PR,Puerto Rico,18.25624085,-66.03705597,5720
7796 Thunder Forest Villas,Caguas,PR,Puerto Rico,18.23004532,-66.03705597,5721
1764 Thunder View Quay,Caguas,PR,Puerto Rico,18.25784874,-66.03705597,5722
6141 Burning Prairie Avenue,Caguas,PR,Puerto Rico,18.24371147,-66.03705597,5723
9394 Umber Abbey,Caguas,PR,Puerto Rico,18.20011902,-66.03705597,5724
9296 Hazy Goose Bend,Caguas,PR,Puerto Rico,18.26281738,-66.03705597,5725
5002 Easy Island Carrefour,Caguas,PR,Puerto Rico,18.29708099,-66.03705597,5726
3996 Misty Vale,Caguas,PR,Puerto Rico,18.28958702,-66.03705597,5727
8055 Iron Ridge,Caguas,PR,Puerto Rico,18.28854752,-66.03705597,5728
4896 Sleepy Leaf Court,Caguas,PR,Puerto Rico,18.27334595,-66.03705597,5729
5310 Easy Barn Campus,Caguas,PR,Puerto Rico,18.21220398,-66.03705597,5730
9026 Little Avenue,Caguas,PR,Puerto Rico,18.24370384,-66.03705597,5731
8259 Sunny Trace,Caguas,PR,Puerto Rico,18.29856491,-66.03705597,5732
6567 High Lagoon Heath,Caguas,PR,Puerto Rico,18.25587082,-66.03705597,5733
3212 Umber Thicket,Caguas,PR,Puerto Rico,18.2826004,-66.03705597,5734
4786 Crystal Apple Island,Caguas,PR,Puerto Rico,18.25968361,-66.03705597,5735
5399 Velvet Terrace,Caguas,PR,Puerto Rico,18.28712845,-66.03705597,5736
257 Iron Elk Maze,Caguas,PR,Puerto Rico,18.20597267,-66.03705597,5737
4355 Gentle Abbey,Caguas,PR,Puerto Rico,18.24150467,-66.03705597,5738
1229 Bright Robin Corners,Caguas,PR,Puerto Rico,18.27942467,-66.03705597,5739
7086 Wishing View Villas,Caguas,PR,Puerto Rico,18.23643684,-66.03705597,5740
8081 Cozy Edge,Caguas,PR,Puerto Rico,18.23184395,-66.03705597,5741
7320 Wishing Rise Mall,Caguas,PR,Puerto Rico,18.21020889,-66.03705597,5742
9757 Harvest Mountain Private,Caguas,PR,Puerto Rico,18.24005699,-66.03705597,5743
4000 Little Barn Bay,Caguas,PR,Puerto Rico,18.20617676,-66.03705597,5744
9590 Dewy Hills Wharf,Caguas,PR,Puerto Rico,18.24027252,-66.03705597,5745
4088 Stony Vista,Caguas,PR,Puerto Rico,18.23756218,-66.03705597,5746
7802 Blue Cove,Caguas,PR,Puerto Rico,18.21622467,-66.03705597,5747
153 Blue Bay,Caguas,PR,Puerto Rico,18.23466682,-66.03705597,5748
9780 Crystal Chase,Caguas,PR,Puerto Rico,18.2729969,-66.03705597,5749
1585 Jagged Fawn Heights,Caguas,PR,Puerto Rico,18.20900154,-66.03705597,5750
2211 Lazy Wharf,Caguas,PR,Puerto Rico,18.20816231,-66.03705597,5751
5198 Rustic Route,Caguas,PR,Puerto Rico,18.29454994,-66.03705597,5752
541 Lost Willow Landing,Caguas,PR,Puerto Rico,18.29047012,-66.03705597,5753
5407 Rustic Forest Pines,Caguas,PR,Puerto Rico,18.24690056,-66.03705597,5754
7072 Blue Sky Island,Caguas,PR,Puerto Rico,18.242733,-66.03705597,5755
16 Golden Robin Mews,Caguas,PR,Puerto Rico,18.22104073,-66.03705597,5756
6030 Emerald Key,Caguas,PR,Puerto Rico,18.24435043,-66.03705597,5757
9420 Honey Grove Mews,Caguas,PR,Puerto Rico,18.23678589,-66.03705597,5758
7802 Dusty Fawn Maze,Caguas,PR,Puerto Rico,18.22943878,-66.03705597,5759
6676 Grand Vista,Caguas,PR,Puerto Rico,18.29496193,-66.03705597,5760
9226 Emerald Pony Farm,Caguas,PR,Puerto Rico,18.23498535,-66.03705597,5761
75 Sunny Grounds,Caguas,PR,Puerto Rico,18.29908943,-66.03705597,5762
8839 Quiet Leaf Range,Caguas,PR,Puerto Rico,18.27396393,-66.03705597,5763
4689 Lost Spring Key,Caguas,PR,Puerto Rico,18.23449326,-66.03705597,5764
9922 Umber Promenade,Caguas,PR,Puerto Rico,18.23113823,-66.03705597,5765
6355 Grand Horse Port,Caguas,PR,Puerto Rico,18.27311707,-66.03705597,5766
5292 Shady Pony Cape,Caguas,PR,Puerto Rico,18.25450134,-66.03705597,5767
9297 Burning Extension,Caguas,PR,Puerto Rico,18.25300407,-66.03705597,5768
1223 Heather Horse Turnabout,Caguas,PR,Puerto Rico,18.26470566,-66.03705597,5769
4948 Middle Orchard,Caguas,PR,Puerto Rico,18.23423576,-66.03705597,5770
9279 Quaking Key,Caguas,PR,Puerto Rico,18.2940464,-66.03705597,5771
9959 Hazy Port,Caguas,PR,Puerto Rico,18.25798225,-66.03705597,5772
9847 Dusty Horse Corner,Caguas,PR,Puerto Rico,18.2972889,-66.03705597,5773
6534 Cinder Campus,Caguas,PR,Puerto Rico,18.229599,-66.03705597,5774
5016 Sunny Run,Caguas,PR,Puerto Rico,18.25627136,-66.03705597,5775
5559 Colonial Prairie Manor,Caguas,PR,Puerto Rico,18.21285057,-66.03705597,5776
5721 Fallen Pony Cove,Caguas,PR,Puerto Rico,18.27438927,-66.03705597,5777
9615 Misty Grove,Caguas,PR,Puerto Rico,18.25440979,-66.03705597,5778
1792 High By-pass,Caguas,PR,Puerto Rico,18.29178238,-66.03705597,5779
1111 Velvet Path,Caguas,PR,Puerto Rico,18.2528019,-66.03705597,5780
1191 Burning Zephyr Loop,Caguas,PR,Puerto Rico,18.2609787,-66.03705597,5781
9992 Clear Jetty,Caguas,PR,Puerto Rico,18.21966744,-66.03705597,5782
1809 Lost Pine Ledge,Caguas,PR,Puerto Rico,18.21240425,-66.03705597,5783
5517 Jagged Hollow,Caguas,PR,Puerto Rico,18.23390389,-66.03705597,5784
6332 Round Range,Caguas,PR,Puerto Rico,18.26632881,-66.03705597,5785
2017 Fallen Sky Row,Caguas,PR,Puerto Rico,18.21189308,-66.03705597,5786
7446 Rocky Inlet,Caguas,PR,Puerto Rico,18.29312706,-66.03705597,5787
7580 Cozy Inlet,Caguas,PR,Puerto Rico,18.26647186,-66.03705597,5788
2311 Green Zephyr Rise,Caguas,PR,Puerto Rico,18.28396225,-66.03705597,5789
586 Gentle Anchor Chase,Caguas,PR,Puerto Rico,18.23328972,-66.03705597,5790
911 Lost Zephyr Vista,Caguas,PR,Puerto Rico,18.27392769,-66.03705597,5791
3937 Sunny Common,Caguas,PR,Puerto Rico,18.25138855,-66.03705597,5792
432 Rocky Link,Caguas,PR,Puerto Rico,18.20235634,-66.03705597,5793
3178 Golden Villas,Caguas,PR,Puerto Rico,18.22603607,-66.03705597,5794
7302 Cotton Freeway,Caguas,PR,Puerto Rico,18.21709251,-66.03705597,5795
732 Honey Harbour,Caguas,PR,Puerto Rico,18.22705841,-66.03705597,5796
521 Fallen Lagoon Glade,Caguas,PR,Puerto Rico,18.22615051,-66.03705597,5797
7798 Lost Front,Caguas,PR,Puerto Rico,18.20817757,-66.03705597,5798
68 Foggy Timber Walk,Caguas,PR,Puerto Rico,18.26054955,-66.03705597,5799
382 Rocky Pond By-pass,Caguas,PR,Puerto Rico,18.24119949,-66.03705597,5800
8460 Dewy Nook,Caguas,PR,Puerto Rico,18.28979683,-66.03705597,5801
3392 Indian Glen,Caguas,PR,Puerto Rico,18.24374962,-66.03705597,5802
3939 Easy Fawn Nook,Caguas,PR,Puerto Rico,18.2093277,-66.03705597,5803
1974 Stony Wharf,Caguas,PR,Puerto Rico,18.20934296,-66.03705597,5804
8172 Gentle Elk Beach,Caguas,PR,Puerto Rico,18.28311157,-66.03705597,5805
6956 Misty Anchor Close,Caguas,PR,Puerto Rico,18.21868134,-66.03705597,5806
5131 Honey Spring Farm,Caguas,PR,Puerto Rico,18.23942566,-66.03705597,5807
1799 Cinder Estates,Caguas,PR,Puerto Rico,18.28612137,-66.03705597,5808
1133 Burning Rise Way,Caguas,PR,Puerto Rico,18.21862221,-66.03705597,5809
6779 Rocky Pathway,Caguas,PR,Puerto Rico,18.28712082,-66.03705597,5810
6468 Fallen Close,Caguas,PR,Puerto Rico,18.20243835,-66.03705597,5811
8632 Bright Route,Caguas,PR,Puerto Rico,18.20287132,-66.03705597,5812
8620 Silent Alley,Caguas,PR,Puerto Rico,18.22309113,-66.03705597,5813
65 Silent Inlet,Caguas,PR,Puerto Rico,18.25133896,-66.03705597,5814
8559 High Elk Via,Caguas,PR,Puerto Rico,18.24717522,-66.03705597,5815
2676 Jagged Key,Caguas,PR,Puerto Rico,18.25995636,-66.03705597,5816
2841 Silent Deer Chase,Caguas,PR,Puerto Rico,18.22503471,-66.03705597,5817
1591 Foggy Meadow,Caguas,PR,Puerto Rico,18.26355934,-66.03705597,5818
826 Gentle Prairie Plaza,Caguas,PR,Puerto Rico,18.29779244,-66.03705597,5819
8772 Silent Expressway,Caguas,PR,Puerto Rico,18.26566124,-66.03705597,5820
7844 Rocky Deer Avenue,Caguas,PR,Puerto Rico,18.24905014,-66.03705597,5821
4189 Bright Rise By-pass,Caguas,PR,Puerto Rico,18.22066498,-66.03705597,5822
1966 Broad Run,Caguas,PR,Puerto Rico,18.20266151,-66.03705597,5823
593 Wishing Pony Cove,Caguas,PR,Puerto Rico,18.21440506,-66.03705597,5824
1790 Noble Brook Run,Caguas,PR,Puerto Rico,18.28899002,-66.03705597,5825
3032 Round Gardens,Caguas,PR,Puerto Rico,18.2380085,-66.03705597,5826
961 Lazy Alley,Caguas,PR,Puerto Rico,18.29736328,-66.03705597,5827
6829 Umber Isle,Caguas,PR,Puerto Rico,18.22459793,-66.03705597,5828
6174 Honey Lookout,Caguas,PR,Puerto Rico,18.27586746,-66.03705597,5829
8570 Lost Barn Expressway,Caguas,PR,Puerto Rico,18.27488327,-66.03705597,5830
7601 Pleasant Barn Run,Caguas,PR,Puerto Rico,18.29995346,-66.03705597,5831
9216 Tawny Berry Point,Caguas,PR,Puerto Rico,18.22609711,-66.03705597,5832
9589 Shady Fox Grove,Caguas,PR,Puerto Rico,18.21000671,-66.03705597,5833
5193 Foggy Apple Jetty,Caguas,PR,Puerto Rico,18.22701645,-66.03705597,5834
4520 Quiet Grounds,Caguas,PR,Puerto Rico,18.21118736,-66.03705597,5835
3114 Grand Quail Pointe,Caguas,PR,Puerto Rico,18.26090241,-66.03705597,5836
5509 Golden Sky Towers,Caguas,PR,Puerto Rico,18.27021027,-66.03705597,5837
7800 Hazy Lake Acres,Caguas,PR,Puerto Rico,18.2005043,-66.03705597,5838
5079 Velvet Hickory By-pass,Caguas,PR,Puerto Rico,18.25735664,-66.03705597,5839
9699 Cotton Autoroute,Caguas,PR,Puerto Rico,18.24897194,-66.03705597,5840
8906 Cotton Alley,Caguas,PR,Puerto Rico,18.20967484,-66.03705597,5841
6179 Silver Alley,Caguas,PR,Puerto Rico,18.25693703,-66.03705597,5842
4831 Sleepy Bear Gate,Caguas,PR,Puerto Rico,18.20916748,-66.03705597,5843
3278 Middle Cape,Caguas,PR,Puerto Rico,18.24538994,-66.03705597,5844
1141 Quiet Pathway,Caguas,PR,Puerto Rico,18.23529434,-66.03705597,5845
1073 Pleasant Cloud Centre,Caguas,PR,Puerto Rico,18.28552437,-66.03705597,5846
4356 Cotton Grove Woods,Caguas,PR,Puerto Rico,18.26530838,-66.03705597,5847
9124 Gentle Pike,Caguas,PR,Puerto Rico,18.23755646,-66.03705597,5848
4114 Lost Blossom Farms,Caguas,PR,Puerto Rico,18.21697807,-66.03705597,5849
4852 Colonial Cape,Caguas,PR,Puerto Rico,18.24852371,-66.03705597,5850
7197 Honey Quail Round,Caguas,PR,Puerto Rico,18.21239281,-66.03705597,5851
8237 Silent Pioneer Heights,Caguas,PR,Puerto Rico,18.20937538,-66.03705597,5852
7108 Cinder Road,Caguas,PR,Puerto Rico,18.27760124,-66.03705597,5853
2285 Wishing Boulevard,Caguas,PR,Puerto Rico,18.27028084,-66.03705597,5854
4606 Tawny Autoroute,Caguas,PR,Puerto Rico,18.20088959,-66.03705597,5855
9447 Dusty Gate Centre,Caguas,PR,Puerto Rico,18.23898506,-66.03705597,5856
4920 Green Alley,Caguas,PR,Puerto Rico,18.26942253,-66.03705597,5857
6077 Pleasant Cloud Maze,Caguas,PR,Puerto Rico,18.25468636,-66.03705597,5858
6135 Silver Oak Gate,Caguas,PR,Puerto Rico,18.26660347,-66.03705597,5859
6886 High Place,Caguas,PR,Puerto Rico,18.27358818,-66.03705597,5860
1467 Hazy Hills By-pass,Caguas,PR,Puerto Rico,18.21104813,-66.03705597,5861
1463 Silent Expressway,Caguas,PR,Puerto Rico,18.28960991,-66.03705597,5862
7906 Colonial Jetty,Caguas,PR,Puerto Rico,18.24525833,-66.03705597,5863
3922 Grand Crescent,Caguas,PR,Puerto Rico,18.23322868,-66.03705597,5864
5104 Jagged Park,Caguas,PR,Puerto Rico,18.29743195,-66.03705597,5865
191 Quaking Embers Bay,Caguas,PR,Puerto Rico,18.21984863,-66.03705597,5866
6595 Old Private,Caguas,PR,Puerto Rico,18.24662399,-66.03705597,5867
3980 Cozy Bay,Caguas,PR,Puerto Rico,18.20347023,-66.03705597,5868
8344 Noble Mountain Gate,Caguas,PR,Puerto Rico,18.24051666,-66.03705597,5869
9543 Lost Corners,Caguas,PR,Puerto Rico,18.23176193,-66.03705597,5870
907 Umber Beacon Common,Caguas,PR,Puerto Rico,18.21624756,-66.03705597,5871
7802 Foggy Robin Link,Caguas,PR,Puerto Rico,18.22247696,-66.03705597,5872
257 Stony Beacon Crescent,Caguas,PR,Puerto Rico,18.27030945,-66.03705597,5873
4485 Noble Fawn Highway,Caguas,PR,Puerto Rico,18.2092762,-66.03705597,5874
1555 Crystal Rise Forest,Caguas,PR,Puerto Rico,18.22155571,-66.03705597,5875
8248 Clear Glade,Caguas,PR,Puerto Rico,18.27602959,-66.03705597,5876
3236 Grand Carrefour,Caguas,PR,Puerto Rico,18.21749687,-66.03705597,5877
395 Hazy Branch Mews,Caguas,PR,Puerto Rico,18.28346443,-66.03705597,5878
164 Stony Field,Caguas,PR,Puerto Rico,18.21611786,-66.03705597,5879
190 Heather View,Caguas,PR,Puerto Rico,18.2453022,-66.03705597,5880
4880 Colonial Grounds,Caguas,PR,Puerto Rico,18.21102142,-66.03705597,5881
